topic_id,count,name,keywords,scores
28,3047,28_ghost_night_haunted_bunk,"ghost, night, haunted, bunk, stories, saw, was, tekong, guard, heard","0.0179, 0.0114, 0.0095, 0.0094, 0.0093, 0.0090, 0.0089, 0.0080, 0.0067, 0.0063"
29,5935,29_scs_term_pro_infantry,"scs, term, pro, infantry, found, inf, sch, coy, ldr, foundation","0.0340, 0.0254, 0.0207, 0.0119, 0.0097, 0.0094, 0.0065, 0.0064, 0.0061, 0.0055"
30,6807,30_national_service_serve_years,"national, service, serve, years, ns, country, we, serving, people, our","0.0181, 0.0146, 0.0071, 0.0054, 0.0052, 0.0051, 0.0041, 0.0040, 0.0038, 0.0035"
31,2927,31_lifesg_credits_1000_credit,"lifesg, credits, 1000, credit, youtrip, bank, cash, withdraw, 1k, account","0.0361, 0.0292, 0.0227, 0.0180, 0.0177, 0.0152, 0.0148, 0.0140, 0.0140, 0.0130"
32,5796,32_medical_mo_specialist_appointment,"medical, mo, specialist, appointment, memo, review, doctor, checkup, referral, hospital","0.0205, 0.0145, 0.0122, 0.0121, 0.0120, 0.0093, 0.0085, 0.0084, 0.0069, 0.0068"
33,2640,33_march_route_24km_16km,"march, route, 24km, 16km, pack, marches, 8km, pop, marching, walk","0.0456, 0.0440, 0.0299, 0.0138, 0.0126, 0.0123, 0.0088, 0.0079, 0.0077, 0.0075"
34,3187,34_parade_pop_milestone_tickets,"parade, pop, milestone, tickets, ticket, ceremony, graduation, march, last, parades","0.0367, 0.0339, 0.0097, 0.0082, 0.0070, 0.0059, 0.0056, 0.0053, 0.0052, 0.0051"
35,2745,35_11b_covered_hospital_polyclinic,"11b, covered, hospital, polyclinic, claim, bill, referral, cover, private, medical","0.0514, 0.0343, 0.0176, 0.0160, 0.0135, 0.0132, 0.0131, 0.0111, 0.0106, 0.0094"
36,2640,36_mindef_deferment_schooling_athletes,"mindef, deferment, schooling, athletes, davis, sports, ben, his, football, he","0.0128, 0.0124, 0.0105, 0.0101, 0.0096, 0.0095, 0.0094, 0.0093, 0.0092, 0.0085"
37,3359,37_cpl_rank_lcp_cfc,"cpl, rank, lcp, cfc, promotion, promoted, pte, promote, 3sg, months","0.0232, 0.0228, 0.0226, 0.0225, 0.0214, 0.0209, 0.0150, 0.0140, 0.0123, 0.0074"
38,3282,38_guard_duty_weekend_duties,"guard, duty, weekend, duties, sentry, night, doing, hours, shift, gd","0.0593, 0.0549, 0.0097, 0.0082, 0.0073, 0.0056, 0.0053, 0.0052, 0.0051, 0.0050"
39,5162,39_enlisting_bro_enlistment_thanks,"enlisting, bro, enlistment, thanks, same, enlist, anyone, jan, see, haha","0.0166, 0.0097, 0.0094, 0.0089, 0.0078, 0.0074, 0.0062, 0.0059, 0.0058, 0.0056"
