year,n,pct_committed,pct_critical,pct_neutral,critical_ci95,net_commitment
2018,1101,0.012715712988192553,0.03723887375113533,0.9500454132606722,0.011184587047397778,-0.02452316076294278
2019,1557,0.010918432883750802,0.026332691072575465,0.9627488760436738,0.00795361713659533,-0.015414258188824663
2020,1566,0.014687100893997445,0.02681992337164751,0.958492975734355,0.008001760777611359,-0.012132822477650065
2021,1587,0.017013232514177693,0.03087586641461878,0.9521109010712036,0.008510731490936908,-0.013862633900441085
2022,1574,0.02096569250317662,0.05019059720457433,0.928843710292249,0.01078656391749272,-0.029224904701397714
2023,1562,0.019846350832266324,0.04865556978233035,0.9314980793854033,0.010669663623879654,-0.028809218950064025
2024,1567,0.023611997447351627,0.06190172303765156,0.9144862795149968,0.011931556748466556,-0.03828972559029993
2025,1500,0.017333333333333333,0.034666666666666665,0.948,0.009257743323134265,-0.017333333333333333
